G62.01	2	BF	1973	1.0	0.04000496864318848	4
G62.01	2	BF	2638	1.0	0.047995567321777344	9
G62.01	2	BF	2251	2.0	0.032006263732910156	10
G62.01	2	BF	2125	2.0	0.04801535606384277	10
G62.01	2	BF	2320	2.0	0.05598139762878418	9
G62.01	2	BF	2031	4.0	0.03999042510986328	7
G62.01	2	BF	2499	2.0	0.039546966552734375	9
G62.01	2	BF	2007	2.0	0.039975643157958984	7
G62.01	2	BF	2142	2.0	0.04800295829772949	6
G62.01	2	BF	2055	1.0	0.03199625015258789	8
G62.01	2	G	6734	1.0	0.11200666427612305	5
G62.01	2	G	7696	1.0	0.15202617645263672	6
G62.01	2	G	7696	1.0	0.13599085807800293	6
G62.01	2	G	5772	2.0	0.11997509002685547	4
G62.01	2	G	5772	2.0	0.10400223731994629	4
G62.01	2	G	6734	0.0	0.12799859046936035	5
G62.01	2	G	7696	0.0	0.14402508735656738	6
G62.01	2	G	4810	2.0	0.0800008773803711	3
G62.01	2	G	6734	2.0	0.1360001564025879	5
G62.01	2	G	5772	2.0	0.10398268699645996	4
G62.01	2	EBF	2063	3.0	0.04002189636230469	10
G62.01	2	EBF	2071	3.0	0.03200101852416992	8
G62.01	2	EBF	3305	2.0	0.06397843360900879	7
G62.01	2	EBF	2098	2.0	0.039998531341552734	10
G62.01	2	EBF	2208	2.0	0.12000322341918945	5
G62.01	2	EBF	2158	2.0	0.07200074195861816	11
G62.01	2	EBF	2130	3.0	0.03998970985412598	11
G62.01	2	EBF	2423	1.0	0.04800558090209961	11
G62.01	2	EBF	2048	1.0	0.047998666763305664	8
G62.01	2	EBF	2055	0.0	0.04800248146057129	8
G62.01	2	EG	3848	2.0	0.07200098037719727	2
G62.01	2	EG	7696	1.0	0.1679999828338623	6
G62.01	2	EG	5772	2.0	0.1317760944366455	4
G62.01	2	EG	6734	1.0	0.135148286819458	5
G62.01	2	EG	6734	2.0	0.14769506454467773	5
G62.01	2	EG	6734	3.0	0.13466286659240723	5
G62.01	2	EG	6734	1.0	0.13225436210632324	5
G62.01	2	EG	5772	2.0	0.12732815742492676	4
G62.01	2	EG	5772	2.0	0.10400199890136719	4
G62.01	2	EG	6734	2.0	0.14400100708007812	5
G62.01	2	ES	2128	4.0	0.03197336196899414	5
G62.01	2	ES	2030	2.0	0.031998395919799805	8
G62.01	2	ES	8286	1.0	0.200026273727417	10
G62.01	2	ES	2019	2.0	0.03197932243347168	8
G62.01	2	ES	2013	1.0	0.040021657943725586	6
G62.01	2	ES	2297	3.0	0.03997611999511719	7
G62.01	2	ES	8240	2.0	0.20002269744873047	6
G62.01	2	ES	2589	3.0	0.04799914360046387	8
G62.01	2	ES	8241	4.0	0.18397235870361328	7
G62.01	2	ES	14823	0.0	0.33602309226989746	12
G62.01	2	EPNES	2292	3.0	0.047998905181884766	15
G62.01	2	EPNES	2080	1.0	0.04800057411193848	10
G62.01	2	EPNES	2023	3.0	0.04799914360046387	7
G62.01	2	EPNES	2396	1.0	0.05600142478942871	8
G62.01	2	EPNES	2062	3.0	0.04802513122558594	9
G62.01	2	EPNES	2736	2.0	0.06399869918823242	8
G62.01	2	EPNES	2173	3.0	0.0479733943939209	6
G62.01	2	EPNES	2238	1.0	0.08000421524047852	12
G62.01	2	EPNES	2055	2.0	0.07199788093566895	15
G62.01	2	EPNES	2125	1.0	0.07200098037719727	18
G62.01	3	BF	2909	3.0	0.05602145195007324	14
G62.01	3	BF	3182	1.0	0.06398487091064453	13
G62.01	3	BF	3296	3.0	0.06398749351501465	12
G62.01	3	BF	3008	2.0	0.0559999942779541	15
G62.01	3	BF	3014	1.0	0.04800105094909668	13
G62.01	3	BF	2997	5.0	0.05597376823425293	17
G62.01	3	BF	4144	2.0	0.07200860977172852	11
G62.01	3	BF	3871	2.0	0.0800180435180664	11
G62.01	3	BF	3854	1.0	0.06396889686584473	17
G62.01	3	BF	3946	2.0	0.06402826309204102	15
G62.01	3	G	10592	5.0	0.21597552299499512	6
G62.01	3	G	10592	2.0	0.2032477855682373	6
G62.01	3	G	10592	2.0	0.16980314254760742	6
G62.01	3	G	13240	2.0	0.24857711791992188	8
G62.01	3	G	13240	3.0	0.28865885734558105	8
G62.01	3	G	13240	2.0	0.2422943115234375	8
G62.01	3	G	11916	2.0	0.22398090362548828	7
G62.01	3	G	11916	3.0	0.20799517631530762	7
G62.01	3	G	11916	1.0	0.23200154304504395	7
G62.01	3	G	9268	3.0	0.192000150680542	5
G62.01	3	EBF	4477	1.0	0.08800363540649414	13
G62.01	3	EBF	3130	4.0	0.048021793365478516	10
G62.01	3	EBF	5277	2.0	0.11198592185974121	18
G62.01	3	EBF	3750	3.0	0.07201123237609863	13
G62.01	3	EBF	3476	1.0	0.07999730110168457	14
G62.01	3	EBF	3134	1.0	0.06400680541992188	12
G62.01	3	EBF	3062	2.0	0.048000335693359375	14
G62.01	3	EBF	3384	1.0	0.055974483489990234	13
G62.01	3	EBF	3058	2.0	0.04002547264099121	12
G62.01	3	EBF	3412	3.0	0.06402063369750977	14
G62.01	3	EG	10592	4.0	0.23197674751281738	6
G62.01	3	EG	11916	3.0	0.31200337409973145	7
G62.01	3	EG	13240	2.0	0.2720193862915039	8
G62.01	3	EG	9268	1.0	0.1839771270751953	5
G62.01	3	EG	13240	3.0	0.2720215320587158	8
G62.01	3	EG	10592	3.0	0.22339224815368652	6
G62.01	3	EG	11916	2.0	0.2320249080657959	7
G62.01	3	EG	11916	3.0	0.23997855186462402	7
G62.01	3	EG	10592	2.0	0.2239971160888672	6
G62.01	3	EG	13240	1.0	0.2704906463623047	8
G62.01	3	ES	28196	4.0	0.690875768661499	14
G62.01	3	ES	9373	1.0	0.20662164688110352	11
G62.01	3	ES	3013	2.0	0.06413483619689941	10
G62.01	3	ES	9865	3.0	0.21599960327148438	14
G62.01	3	ES	2946	4.0	0.04799604415893555	9
G62.01	3	ES	15721	2.0	0.3840038776397705	13
G62.01	3	ES	2857	3.0	0.06400585174560547	9
G62.01	3	ES	3712	3.0	0.10399580001831055	12
G62.01	3	ES	9261	2.0	0.24802374839782715	11
G62.01	3	ES	3583	1.0	0.08800125122070312	13
G62.01	3	EPNES	2878	2.0	0.13598346710205078	11
G62.01	3	EPNES	2981	3.0	0.15999221801757812	13
G62.01	3	EPNES	2984	1.0	0.13599920272827148	15
G62.01	3	EPNES	2883	3.0	0.14400315284729004	15
G62.01	3	EPNES	3106	4.0	0.13599920272827148	10
G62.01	3	EPNES	2848	2.0	0.20080280303955078	14
G62.01	3	EPNES	4873	2.0	0.142225980758667	12
G62.01	3	EPNES	5718	0.0	0.13735198974609375	17
G62.01	3	EPNES	3334	3.0	0.12881803512573242	12
G62.01	3	EPNES	3135	1.0	0.09420251846313477	16
G62.01	4	BF	7046	4.0	0.1481635570526123	15
G62.01	4	BF	3784	2.0	0.08611464500427246	15
G62.01	4	BF	5267	3.0	0.10489726066589355	16
G62.01	4	BF	3506	1.0	0.06423735618591309	19
G62.01	4	BF	4890	2.0	0.10174059867858887	16
G62.01	4	BF	4283	3.0	0.09662294387817383	15
G62.01	4	BF	4661	3.0	0.08797430992126465	16
G62.01	4	BF	3487	2.0	0.05839991569519043	12
G62.01	4	BF	3872	4.0	0.06531429290771484	14
G62.01	4	BF	4704	3.0	0.09082317352294922	13
G62.01	4	G	15370	2.0	0.30527377128601074	8
G62.01	4	G	15370	3.0	0.2708454132080078	8
G62.01	4	G	16907	3.0	0.2953529357910156	9
G62.01	4	G	16907	4.0	0.4924049377441406	9
G62.01	4	G	18444	2.0	0.420515775680542	10
G62.01	4	G	15370	3.0	0.2769770622253418	8
G62.01	4	G	13833	4.0	0.2689194679260254	7
G62.01	4	G	15370	1.0	0.34653544425964355	8
G62.01	4	G	13833	3.0	0.26614904403686523	7
G62.01	4	G	15370	2.0	0.3008852005004883	8
G62.01	4	EBF	3936	4.0	0.08538818359375	12
