G124.02	2	BF	12720	22.0	0.5778310298919678	40
G124.02	2	BF	9324	30.0	0.3953068256378174	29
G124.02	2	BF	12307	21.0	0.5172898769378662	45
G124.02	2	BF	16827	25.0	0.7125866413116455	44
G124.02	2	BF	19539	27.0	0.8717269897460938	35
G124.02	2	BF	11391	20.0	0.4773116111755371	32
G124.02	2	BF	13873	22.0	0.6044204235076904	46
G124.02	2	BF	11657	31.0	0.4907400608062744	37
G124.02	2	BF	23588	20.0	1.0186758041381836	44
G124.02	2	BF	9845	27.0	0.4281125068664551	32
G124.02	2	G	73055	25.0	3.273686170578003	17
G124.02	2	G	76900	22.0	3.3140804767608643	18
G124.02	2	G	80745	22.0	3.5089492797851562	19
G124.02	2	G	57675	32.0	2.5670523643493652	13
G124.02	2	G	99970	22.0	4.466860055923462	24
G124.02	2	G	99970	21.0	4.175959825515747	24
G124.02	2	G	84590	23.0	3.5393917560577393	20
G124.02	2	G	73055	25.0	3.0896565914154053	17
G124.02	2	G	80745	22.0	3.4685611724853516	19
G124.02	2	G	65365	25.0	2.736207962036133	15
G124.02	2	EBF	11376	28.0	0.4671976566314697	35
G124.02	2	EBF	14940	23.0	0.6382768154144287	36
G124.02	2	EBF	10813	24.0	0.45209622383117676	36
G124.02	2	EBF	10575	23.0	0.449465274810791	48
G124.02	2	EBF	14960	21.0	0.623323917388916	37
G124.02	2	EBF	14464	21.0	0.6198370456695557	44
G124.02	2	EBF	10935	31.0	0.4670710563659668	31
G124.02	2	EBF	11942	27.0	0.500633716583252	41
G124.02	2	EBF	14097	27.0	0.6005256175994873	34
G124.02	2	EBF	11371	26.0	0.46654176712036133	35
G124.02	2	EG	53830	27.0	2.2912521362304688	12
G124.02	2	EG	69210	27.0	2.9331791400909424	16
G124.02	2	EG	73055	21.0	3.0588033199310303	17
G124.02	2	EG	73055	32.0	3.1127588748931885	17
G124.02	2	EG	76900	24.0	3.2433125972747803	18
G124.02	2	EG	84590	24.0	3.5569684505462646	20
G124.02	2	EG	73055	21.0	3.0995419025421143	17
G124.02	2	EG	65365	29.0	2.7518575191497803	15
G124.02	2	EG	76900	18.0	3.241253614425659	18
G124.02	2	EG	61520	29.0	2.5894157886505127	14
G124.02	2	ES	22083	31.0	0.9817190170288086	31
G124.02	2	ES	41924	22.0	1.8086438179016113	39
G124.02	2	ES	73253	23.0	3.276719808578491	34
G124.02	2	ES	13888	23.0	0.5620381832122803	40
G124.02	2	ES	46649	30.0	2.053805112838745	34
G124.02	2	ES	12268	32.0	0.5206751823425293	28
G124.02	2	ES	15917	25.0	0.6475734710693359	36
G124.02	2	ES	12041	25.0	0.4919555187225342	36
G124.02	2	ES	16143	25.0	0.6928455829620361	43
G124.02	2	ES	24867	22.0	1.0676829814910889	36
G124.02	2	EPNES	10295	28.0	0.5184216499328613	38
G124.02	2	EPNES	15620	28.0	0.7227041721343994	42
G124.02	2	EPNES	22375	21.0	1.0067620277404785	38
G124.02	2	EPNES	14319	24.0	0.664039134979248	36
G124.02	2	EPNES	12916	22.0	0.6114132404327393	40
G124.02	2	EPNES	15823	24.0	0.7500016689300537	34
G124.02	2	EPNES	9694	25.0	0.47650623321533203	36
G124.02	2	EPNES	12021	25.0	0.5809471607208252	39
G124.02	2	EPNES	18069	28.0	0.8241100311279297	40
G124.02	2	EPNES	14470	23.0	0.6885604858398438	43
G124.02	3	BF	20686	36.0	0.8635406494140625	49
G124.02	3	BF	29636	36.0	1.2429463863372803	50
G124.02	3	BF	20254	32.0	0.859562873840332	63
G124.02	3	BF	19543	36.0	0.8240563869476318	53
G124.02	3	BF	20514	31.0	0.851895809173584	57
G124.02	3	BF	21360	39.0	0.9097034931182861	43
G124.02	3	BF	19865	38.0	0.8184044361114502	57
G124.02	3	BF	27245	38.0	1.15303635597229	65
G124.02	3	BF	23711	38.0	1.0065970420837402	49
G124.02	3	BF	21992	35.0	0.9236068725585938	55
G124.02	3	G	148204	35.0	6.251223087310791	26
G124.02	3	G	148204	36.0	6.310311794281006	26
G124.02	3	G	148204	35.0	6.2502429485321045	26
G124.02	3	G	127032	35.0	5.448416709899902	22
G124.02	3	G	116446	42.0	4.983045339584351	20
G124.02	3	G	132325	34.0	5.60719108581543	23
G124.02	3	G	153497	40.0	6.470359563827515	27
G124.02	3	G	127032	41.0	5.369464159011841	22
G124.02	3	G	132325	33.0	5.602906703948975	23
G124.02	3	G	137618	37.0	5.816656827926636	24
G124.02	3	EBF	26676	34.0	1.1284611225128174	62
G124.02	3	EBF	15398	35.0	0.6627054214477539	49
G124.02	3	EBF	29283	33.0	1.249418020248413	61
G124.02	3	EBF	20967	38.0	0.8949949741363525	52
G124.02	3	EBF	17384	38.0	0.7706015110015869	50
G124.02	3	EBF	22430	42.0	0.9813108444213867	56
G124.02	3	EBF	30726	39.0	1.3596718311309814	52
G124.02	3	EBF	37775	29.0	1.6218783855438232	56
G124.02	3	EBF	19458	39.0	0.8468396663665771	50
G124.02	3	EBF	31404	30.0	1.3532378673553467	65
G124.02	3	EG	116446	36.0	5.0027546882629395	20
G124.02	3	EG	121739	36.0	5.285069704055786	21
G124.02	3	EG	121739	32.0	5.2390923500061035	21
G124.02	3	EG	142911	35.0	6.184540510177612	25
G124.02	3	EG	132325	36.0	5.713384628295898	23
G124.02	3	EG	137618	33.0	5.927278280258179	24
G124.02	3	EG	116446	32.0	5.01827597618103	20
G124.02	3	EG	142911	34.0	6.193952560424805	25
G124.02	3	EG	132325	38.0	5.707713842391968	23
G124.02	3	EG	153497	33.0	6.629109144210815	27
G124.02	3	ES	33556	40.0	1.5049853324890137	50
G124.02	3	ES	30369	45.0	1.3532607555389404	41
G124.02	3	ES	16487	35.0	0.6997153759002686	53
G124.02	3	ES	40623	34.0	1.7660753726959229	49
G124.02	3	ES	28079	30.0	1.2000908851623535	47
G124.02	3	ES	21141	37.0	0.9167368412017822	51
G124.02	3	ES	29158	37.0	1.2901856899261475	53
G124.02	3	ES	17688	34.0	0.7470238208770752	45
G124.02	3	ES	19584	37.0	0.8309354782104492	43
G124.02	3	ES	59656	35.0	2.614966630935669	53
G124.02	3	EPNES	21096	30.0	1.1272130012512207	59
G124.02	3	EPNES	35489	30.0	1.7260518074035645	56
G124.02	3	EPNES	27617	37.0	1.3979532718658447	56
G124.02	3	EPNES	23423	33.0	1.2200729846954346	54
G124.02	3	EPNES	24741	40.0	1.2477972507476807	59
G124.02	3	EPNES	30616	34.0	1.5239789485931396	57
G124.02	3	EPNES	17854	43.0	0.9241633415222168	45
G124.02	3	EPNES	16810	31.0	0.9486777782440186	57
G124.02	3	EPNES	27043	38.0	1.3354876041412354	46
G124.02	3	EPNES	22529	33.0	1.1556453704833984	51
G124.02	4	BF	25353	43.0	1.0895226001739502	57
G124.02	4	BF	24327	47.0	1.0363414287567139	43
G124.02	4	BF	38061	40.0	1.6432173252105713	57
G124.02	4	BF	37581	40.0	1.6023008823394775	65
G124.02	4	BF	30934	55.0	1.3390343189239502	53
G124.02	4	BF	33686	43.0	1.4492840766906738	63
G124.02	4	BF	31669	41.0	1.3735427856445312	66
G124.02	4	BF	25470	45.0	1.0936880111694336	70
G124.02	4	BF	40052	38.0	1.6987340450286865	69
G124.02	4	BF	35549	41.0	1.5285913944244385	59
G124.02	4	G	153762	46.0	6.558287143707275	27
G124.02	4	G	153761	43.0	6.806217908859253	26
G124.02	4	G	153762	42.0	6.598027467727661	27
G124.02	4	G	144175	44.0	6.124783515930176	23
G124.02	4	G	153762	41.0	6.4889116287231445	27
G124.02	4	G	149942	47.0	6.4167258739471436	24
G124.02	4	G	153761	48.0	6.566139221191406	26
G124.02	4	G	153762	41.0	6.5401787757873535	27
G124.02	4	G	153762	49.0	6.542791843414307	27
G124.02	4	G	153760	45.0	6.534248113632202	25
G124.02	4	EBF	29152	45.0	1.2849130630493164	64
G124.02	4	EBF	31557	38.0	1.4080352783203125	65
G124.02	4	EBF	27450	41.0	1.192948341369629	58
G124.02	4	EBF	24915	44.0	1.0798752307891846	68
G124.02	4	EBF	30280	42.0	1.3194849491119385	59
G124.02	4	EBF	23676	45.0	1.052048921585083	49
G124.02	4	EBF	36844	44.0	1.5956604480743408	66
G124.02	4	EBF	24834	49.0	1.090449571609497	50
G124.02	4	EBF	38601	43.0	1.662247896194458	57
G124.02	4	EBF	22738	47.0	1.0329546928405762	59
G124.02	4	EG	153762	39.0	6.623574495315552	27
G124.02	4	EG	153762	37.0	6.638733863830566	27
G124.02	4	EG	153762	42.0	6.662782192230225	27
G124.02	4	EG	153761	45.0	6.64649510383606	26
G124.02	4	EG	153761	42.0	6.621771574020386	26
G124.02	4	EG	144175	45.0	6.2481689453125	23
G124.02	4	EG	153761	46.0	6.785332679748535	26
G124.02	4	EG	153762	41.0	6.84957218170166	27
G124.02	4	EG	153762	41.0	6.822597026824951	27
G124.02	4	EG	153761	43.0	6.874751567840576	26
G124.02	4	ES	47431	43.0	2.155327796936035	62
G124.02	4	ES	25378	47.0	1.099363088607788	48
G124.02	4	ES	47525	35.0	2.0348737239837646	67
G124.02	4	ES	57552	42.0	2.50951886177063	61
